"","x"
"1",1.19
"2",-3.16
"3",-4.3
"4",-5.51
"5",-9.06
"6",-15.42
"7",-23.29
"8",-30.45
"9",-35.02
"10",-36.23
"11",-34.51
"12",-31.01
"13",-26.86
"14",-22.41
"15",-17.22
"16",-10.47
"17",-1.61
"18",9.09
"19",20.53
"20",31.13
"21",39.6
"22",45.27
"23",48.04
"24",48.05
"25",45.41
"26",40.54
"27",34.45
"28",28.96
"29",26.23
"30",27.71
"31",33.14
"32",40.21
"33",45.34
"34",45.39
"35",39.21
"36",28.07
"37",14.95
"38",3
"39",-6.12
"40",-12.86
"41",-19.16
"42",-27.19
"43",-38
"44",-50.91
"45",-64.04
"46",-75.12
"47",-82.47
"48",-85.52
"49",-84.75
"50",-81.19
"51",-75.94
"52",-69.91
"53",-63.83
"54",-58.18
"55",-53.2
"56",-48.79
"57",-44.52
"58",-39.84
"59",-34.16
"60",-27.17
"61",-18.77
"62",-9.29
"63",0.59
"64",9.87
"65",17.36
"66",22.31
"67",24.93
"68",26.61
"69",29.38
"70",34.7
"71",42.35
"72",50.03
"73",54.37
"74",52.51
"75",43.91
"76",30.77
"77",17.16
"78",7.1
"79",2.64
"80",3.13
"81",5.89
"82",7.76
"83",6.69
"84",2.52
"85",-3.39
"86",-9.13
"87",-13.51
"88",-16.49
"89",-18.99
"90",-22.03
"91",-25.99
"92",-30.28
"93",-33.59
"94",-34.39
"95",-31.62
"96",-25.1
"97",-15.65
"98",-4.75
"99",5.84
"100",14.56
"101",20.34
"102",23.1
"103",23.87
"104",24.57
"105",27.4
"106",33.77
"107",43.52
"108",54.66
"109",63.99
"110",68.31
"111",65.74
"112",56.25
"113",41.57
"114",24.21
"115",6.41
"116",-10.58
"117",-26.42
"118",-40.93
"119",-53.49
"120",-62.8
"121",-67.63
"122",-67.51
"123",-63.34
"124",-57.21
"125",-51.62
"126",-48.32
"127",-47.47
"128",-47.5
"129",-45.81
"130",-40.1
"131",-29.57
"132",-15.18
"133",0.68
"134",15.32
"135",26.74
"136",34.13
"137",37.88
"138",39.2
"139",39.78
"140",41.39
"141",45.55
"142",52.84
"143",62.35
"144",71.41
"145",76.17
"146",73.05
"147",60.44
"148",39.68
"149",14.82
"150",-9.02
"151",-27.68
"152",-39.22
"153",-44
